Q,A
배 배 귤 병 보험 no 김 야 덕도 분 입 폐 꿈 꿔 비엠 아 예 김 종 총 용 똥 털 몸 절 복 강 발 왕 잘 뼈 더 더 병 밤 활 감 8 꽃 정 정 ,새 해 배 개 집 일 입 이 꿀 불 귤 물 피 쥐 비 귀 콩 돈 공 손 풀 붓 뿔 윷 잎 씨 빗 침 벌 성 별 형 초 눈 코 문 햄 잼 뱀 책 실 십 칠 김 종 총 용 똥 털 몸 절 톱 강 발 왕 달 뼈 영 혀 병 밤 활 감 탈 꽃 점 솥 섬 금 육 은 흙 산 파 삼 차 춤 국 꿈 북 칼 말 쌀 팔 떡 컵 턱 껌 방 빵 창 양 오 곰 소 돌 약 탑 닭 밥 귀 남 해 밀 옷 잔 댁 겁 시 병 소 점 키 앞 무 논 자 글 용 겉 다 뜰 피 상 네 벌 추 만 죄 일 구 삼 도 알 꽃 연 달 혀 녹 김 약 덕 조 군 잎 폐 꿈 터 샘 능 아 애 어 에 오 우 으 이 야 얘 여 예 와 왜 외 요 워 웨 위 유 의 가 까 나 다 따 라 마 바 빠 사 싸 자 짜 차 카 타 파 하
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려 여긴 와요 여긴 와요 나비가 날아요 나비가 날아요 엄마가 노래해 엄마가 노래해 여기 놓을 거예요 여기 놓을 거예요 밥 먹었죠 밥 먹었죠 집에 아무도 없겠지 집에 아무도 없겠지 발이 얼었어요 발이 얼었어요 길이 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 거기 갈래 거기 갈래 그렇게 될 리가 없지 그렇게 될 리가 없지 전화 왔었어요 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말렸+ 말려요+ 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려 n/ 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 n/ 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요? n/
바지 단추 액상 가방 사탕 연필 자동차 동물원 엄마 뽀뽀 호랑이 꼬리 코끼리 땅콩 게이 그네 토끼 풍선 프로보 그림 옷 ,바지 단추 책상 가방 사탕 연필 자동차 동물원 엄마 뽀뽀 호랑이 꼬리 코끼리 땅콩 귀 그네 토끼 풍선 로봇 그림 못 눈썹 괴물 싸움 참새 세마리 짹짹 나무 메뚜기 전화 
57살 지내자 고생 뒤에 대구시에서 57세까지 살았습니다 ,제 나이 오십 칠 세입니다. 저는 뱀띠입니다  제가 태어난 곳은 대구시이고 주로 산 곳은 대구시 입니다. 출생지인 대구시에서 오십 칠 세까지 살았습니다. 아버지는 경북 구미 지역 출신이시고 어머니는 경북 구미 지역 출신이십니다 제 위로는 언니 세 명이 있고 아래로  남동생 한 명이 있습니다.
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려 여기나요 여기나요 나비가 날아요 나비가 날아요 엄마가 노래해 엄마가 노래해 여기 놀 거예요 밥 먹었죠 밥 먹었어 집에 아무도 없겠지 집에 아무도 없겠지 발이 얼었어요 발이 얼었어요 길이 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 거기 갈래 거기 갈래 그렇게 될 리가 없지 그렇게 될 리가 없지 전화 왔었어요 ,문열어. 문 열어?+ 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요?+ 나비가 날아요?+ 나비가 날아요. 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔.+ 여기 놔?+ 여기 놔요. 여기 놔요?+ 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요?+ 머리 말렸어요? 머리 말렸어요. 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠? 밥 먹었죠. 집에 아무도 없겠지. 집에 아무도 없겠지. 발이 얼었어요. 발이 얼었어요？ 길이 많이 막혀요. 길이 많이 막혀요？ 선생님이 하셨어요. 선생님이 하셨어요？ 거기 갈래. 거기 갈래？ 그렇게 될 리가 없지. 그렇게 될 리가 없지？ 전화 왔었어요. 전화 왔었어요？ 여기까지 걸어 왔어요？ 여기까지 걸어 왔어요． 방이 추운 거 같애. 방이 추운 거 같애？ 날씨가 추워요. 날씨가 추워요？ 음악 켜. 음악 켜？ 날씨가 더워요. 날씨가 더워요？
문 열어 문 열어 나무가 많아 내일 만나 내일 만나 이제 내가 밥 먹어 노래해 엄마가 노래해 Ok Google 밥 먹었어 밥 먹었어 집에 아무도 없겠지 집에 아무도 없겠지 달의 허락 전화했지 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 지+ 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려 여기 있나요 여기 와요 나비가 날아요 나비가 나라요 엄마가 노래해 엄마가 노래해 여기에 놓을 거예요 여기 놀 거예요 밥 먹었죠 밥 먹었어 집에 아무도 없겠지 집에 아무도 없겠지 발이 얼었어요 발이 얼었어요 기림 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 거기 갈래 거기 갈래 그렇게 될 리가 없지 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
어울 안경 전화 신발 나무 가위 사과 보자 풍선 당근 연필 기차 나에게 창문 동생 야 호박 다연 거울 토끼 회사 노래 노래 처녀 사람 뽑기 병원 등대 논밭 과일 통곡 딸기 문제 나무 극장 가위 그림 아들 팥죽 동생 냄새 바다 자연 ,나무 사과 모자 풍선 당근 연필 회사 노래 참새 달걀 우산 허리
툴 땐 가장 좋다 난 교통 아침 좋아하는 음식은 어떻게 하는 거야 ,제 나이는 마흔 살입니다. 저는 호랑이 띠입니다 제가 태어난 곳은 서울시 이고 주로 산 곳은 u/ 시 입니다. 출생지인 서울 시 에서 마흔 살까지 살았습니다. 아버지는 전라남도 지역 출신이시고 어머니는 전라남도 지역 출신이십니다 제 위로는 언니가 한 명이 있고 아래로 남동생 한 명이 있습니다. 우리 가족은 아버지 어머니 남동생 그리고 저이고 그래서 모두 네 명입니다. 지금 저랑 같이 살고 있는 사람은 어머니와 남동생 입니다 가족과 주로 하는 이야기는 왔다 갔다 하는 것입니다. 친구와 주로 하는 이야기는 대화 대한 것입니다. 저는 평소에 주로 지하철 을 타고 다닙니다. 우리 동네는 교통이 편리 합니다. 교통이 편리 한 이유는 마을버스 입 때문입니다.  우리 집에서 서울역에 가려면 지하철을 타고 가야 합니다. 우리 집 근처에는 돌덩 마트가 있는데 걸어서 u/ 거리에 있습니다.  나는 보통 아침 다섯+ 다섯 시에 일어나고 밤 열 한 시에 잡니다. 제가 가장 좋아하는 음식은 아스크림 입니다. 제 취미는 편지공예 입니다.  무지개 일곱 색깔은 빨강색 주황색 노랑색 녹색 파랑색 남색 보라색 입니다. 일주일은 월요일 화요일 수요일 목요일 금요일 토요일 일요일 입니다. 설날은 일 월 일 일입니다. 크리스마스는 십 이 월 이십 오 일입니다. 지금 계절은 가을 입니다. 어제는 날씨가 흐렸고 오늘 날씨는 맑습니다 일 년은 삼백 육십 오 일이고 일 주일은 칠 일입니다. 하루는 이십 사 시간이고 일 분은 육십 초입니다.
문 열어 문 열어 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려요 나비가 나라요 나비가 나라요 엄마가 노래해 엄마가 노래해 여기 놓을 거예요 밥 먹었어 밥 먹었어 집에 아무도 없겠지 집에 아무도 없겠지 발이 얼었어요 발이 얼었어요 길이 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 거기 갈래 거기 갈래 그렇게 될 리가 없지 그렇게 될 리가 없지 전화 왔었어요 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어* 왔어요. 여기까지 걸어* 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
서울 안경 하나 엄마 자요 혁기 천사 노래 가야 시작과 함께 바닷가 홍시 홀트 동영상 보기 ,거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 자연 거울 토끼 회사 노래 신발 딸기 나무 참새 달걀 우산 학교 장갑 그림 풍선 전화 병원 과일 땅콩 편지 달걀 시간 육군 신발 땅콩 안개 마음 허리 욕심 노래 저녁 사람 토끼 병원 등대 과일 송곳 딸기 문제 나무 극장 가위 그림 아들 팥죽 동생 목표 냄새 바다 자연 접시 권투 방석 느낌
 1주일은 칠 일입니다. 하루는 이십 사 시간이고," 1분은 육십 초입니다."""
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 머리 말려 머리 말려요 나비가 날아요 나비가 나라야 엄마가 노래해 엄마가 노래해 여기에 놀 거예요 여기 놀 거예요 밥 먹었어 밥 먹었어 집에 아무도 없겠지 집에 아무도 없겠지 발이 어렵다 야 발이 어렵다 야 길이 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 거기 갈래 거기 갈래 그렇게 될 리가 없지 그렇게 될 리가 없지 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려요 여긴 와요 나비가 말아요 나비가 날아요 머리 말렸어요 머리 말렸어요 여기 놀 거예요 여긴 올 거예요 밥 먹었어 밥 먹었어 집에 아무도 없겠지 집에 아무도 깼지 달이 얼었어요 아리 얼었어요 길이 많이 막혀요 일이 많이 막혀요 선생님이 하셨어요 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요?
버즈 빤쮸 색상 나방 바탕 연필 자동차 동물원 엄마 뽀뽀 호랑이 소리 땅콩 은혜 토끼 똥 싼 로봇 드림 뭣 ,바지 단추 책상 가방 사탕 연필 자동차 동물원 엄마 뽀뽀 호랑이 꼬리 코끼리 땅콩 귀 그네 토끼 풍선 로봇 그림 못 눈썹 괴물 싸움 참새 세마리 짹짹 나무 메뚜기 전화
땡 땡 피 항네네 약 야 예 야 예 비 와 왜 왜가 귀까 나 나 왕 다음 야 야 병 밤 활 감상 꽃 점 송 스톱 금 6 응 응 팡 팡 ,새 해 배 개 집 일 입 이 꿀 불 귤 물 피 쥐 비 귀 콩 돈 공 손 풀 붓 뿔 윷 잎 씨 빗 침 벌 성 별 형 초 눈 코 문 햄 잼 뱀 책 실 십 칠 김 종 총 용 똥 털 몸 절 톱 강 발 왕 달 뼈 영 혀 병 밤 활 감 탈 꽃 점 솔 솥 금 육 은 흙 산 파 삼 차 춤 국 꿈 북 칼 말 쌀 팥 떡 컵 턱 껌 방 빵 창 양 오 곰 소 돌 약 탑 닭 밥 귀 남 해 밀 옷 잔 댁 겁 시 병 소 점 키 앞 무 논 자 글 용 겉 다 뜰 피 상 네 벌 추 만 죄 일 구 삼 도 알 꽃 연 달 혀 녹 김 약 덕 조 군 잎 폐 꿈 터 샘 능 아 애 어 에 오 우 으 이 야 얘 여 예 와 왜 외 요 워 웨 위 유 으 아 애 어 에 오 우 으 이 야 얘 여 예 와 왜 외 요 워 웨 위 유 으 가 까 나 다 따 라 마 바 빠 사 싸 자 짜 차 카 타 파 하 가 까 나 다 따 라 마 바 빠 사 싸 자 짜 차 카 타 파 하
제 나이는 45 살입니다 제가 태어난 곳은 동두천시고 주로 삼국전 인천입니다 출생지인 동두천시에서 26살까지 살았습니다 아버지는 경기도 지역 출신고 어머니는 경상도 지역 주시다니 오빠 한 명 있고 아래로 없습니다 우리 집 근처에 있는 이마트가 있는데 걸어서 5분 거리에 있습니다 보통 아침 8시에 일어나고 밤 12시에 잡니다 제가 가장 좋아하는 음식은 매운 요리입니다 제 취미는 베이킹소다 무지개 7 색깔인 빨간색 주황색 노란색 초록색 파란색 남색 보라색입니다 일주일은 월요일 화요일 수요일 목요일 금요일 토요일 일요일입니다 설날이 1월 1일입니다 ,제 나이는 마흔 다섯 살입니다. 저는 뱀 띠입니다. 제가 태어난 곳은 동두천시이고 주로 산곳은 인천입니다. 출생지인 동두천시에서 스물 여섯 살까지 살았습니다. 아버지는 경기도지역 출신이시고 어머니는 경상도지역 출신이십니다. 저는 위로는 오빠 한 명이있고 아래로 없습니다. 우리 가족은 엄마 아빠 오빠 그리고 저이고 그래서 모두 네 명입니다. 지금 저랑 같이 살고있는 사람은 남편입니다. 가족과 주로 하는 이야기는 미래에 대한 것입니다. 친구와 주로 하는 이야기는 결혼생활에 대한 것입니다. 저는 평소에 주로 지하철을 타고 다닙니다. 우리 동네는 교통이 편리합니다. 교통이 편리한 이유는 역세권이기 때문입니다. 우리집에서 서울역에 갈려면 지하철을 타고 가야합니다. 우리집 근처에는 이마트가 있는데 걸어서 오 분거리에 있습니다. 나는 보통 아침 여덟 시에 일어나고 밤 열 두 시에 잡니다. 제가 가장 좋아하는 음식은 매운요리입니다. 제 취미는 베이킹입니다. 무지개 일곱 색깔은 빨간색 주황색 노랑색 초록색 파랑색 남색 보라색입니다. 일주일은 월요일 화요일 수요일 목요일 금요일 토요일 일요일입니다. 설날은 일 월 일 일 입니다. 크리스마스는 십 이 월 이십 오 일입니다. 지금은 계절은 초가을입니다. 어제는 날씨가 무더웠고 오늘 날씨는 맑다. 일 년은 삼백 육십 오 일이고 일 주일은 칠 일입니다. 하루는 이십 사 시간이고 일 분은 육십 초 입니다.
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려와 이제 내려 머리 말려 머리 말려 여기 있나 봐 여기 나와 여기 나와요 나 네가 알아요 엄마가 노래해 엄마가 노래해 머리 말려요 집에 아무도 없겠지 발이 얼었어요 빨리 얼었어요 길이 많이 막혔어요 길이 많이 막혔어요 길이 많이 막혀서 길이 마리 막혔어 선생님이 하셨어요 선생님이 하셨어요 거기 갈래 고기 갈래 그렇게 될 리가 없지 그렇게 될 리가 없지 전화 왔었어요 전화가 쉬었어요 여기까지 걸어왔어요 여기까지 걸어왔어요 빵이 추운 거 같아 빵이 추운 거 같아 날씨가 추워요 ,문 열어.  문 열어? 나무가 많아.  나무가 많아? 내일 만나.  내일 만나? 이제 내려.  이제 내려? 머리 말려.  머리 말려?  여기 놔봐.  여기 놔봐.  여기 놔요? 아이참* 여기 놔요? 아이참* 나비가 날아요.  나비가 날아요? 엄마가 노래해.  엄마가 노래해? 머리 말려요.  머리 말려요? 여기 놨어요.  여기 놨어요? 여기 놔.  여기 놔? 여기 놔요.  여기 놔요? 머리 말려.  머리 말려? 머리 말려요.  머리 말려요? 여기 놨어요.  여기 놨어요? 머리 말렸어요.  머리 말렸어요? 여기 놓을 거예요.  여기 놓을 거예요? 밥 먹었죠.  밥 먹었죠? 집에 아무도 없겠지.  집에 아무도 없겠지? 발이 얼었어요.  발이 얼었어요? 길이 많이 막혔쓰*요.  길이 많이 막혔쓰*요.  길이 마리 막혔어? 길이 마리 막혔어? 선생님이 하셨어요.  선생님이 하셨어요? 거기 갈래.  거기 갈래? 그렇게 될 리가 없지.  그렇게 될 리가 없지? 전화 왔었어요.  전화 왔었셔*요? 여기까지 걸어 왔어요.  여기까지 걸어 왔어요? 방이 추운 거 같애.  방이 추운 거 같애? 날씨가 추워요.  날씨가 추워요? 음악 켜.  음악 켜? 날씨가 더워요.  날씨가 더워요?
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려 여기나요 여기나요 나비가 날아요 나비가 날아요 엄마가 노래해 엄마가 노래해 밥 먹었어 밥 먹었죠 집에 아무도 없겠지 집에 아무도 없겠지 다리 얼었어요 달이 얼었어요 길이 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 저기 갈래 거기 갈래 그렇게 될 리가 없지 그렇게 될 리가 없지 전화 왔었어요 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이* 추운 거 같애. 방 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
제 나이는 한자입니다 저는 따뜻합니다 제가 태어난 곳은 울 집 근처에는 우리 마트가 있는데 걸어서 5분 거리에 있습니다 나는 보통 아침 7시에 일어나고 밤 12시에 잡니다 제가 가장 좋아하는 음식은 떡볶이입니다 제일 처음에는 그림 그리기 메달 모두가 일곱 작가 룬 빨간색 주황색 노란색 초록색 파란색 브라우저입니다 월요일 화요일 수요일 목요일 금요일 토요일 일요일입니다 설날은 2월 24일입니다 ,제 나이는 한 살입니다. 저는 닭 띠입니다. 제가 태어난 곳은 서울시이고 주로 산 곳은 서울시입니다. 출생지인 구리시에서 구* 십 살까지 살았습니다. 아버지는 강원도 지역 출신이시고 어머니는 경상도 지역 출신이십니다. 제 위로는 언니 한 명이 있고 아래로 여동생 한 명이 있습니다. 우리 가족은 엄마 아빠 동생 그리고 저이고 그래서 모두 네 명입니다. 지금 저랑 같이 살고 있는 사람은 엄마와 아빠입니다. 가족과 주로 하는 이야기는 재테크에 대한 것입니다. 친구와 주로 하는 이야기는 게임에 대한 것입니다. 저는 평소에 주로  지하철을 타고 다닙니다. 우리 동네는 교통이 편리합니다. 교통이 편리한 이유는 가깝기 때문입니다. 우리 집에서 서울역에 가려면 지하철을 타고 가야 합니다. 우리 집 근처에는 우리마트가 있는데 걸어서 오 분 거리에 있습니다. 나는 보통 아침 일곱 시에 일어나고 밤 열두 시에 잡니다. 제가 가장 좋아하는 음식은 떡볶이입니다. 제 취미는 그림그리기입니다. 무지개 일곱 색깔은 빨간색 주황색 노랑색 초록색 파랑색 보라색입니다. 일주일은 월요일 화요일 수요일 목요일 금요일 토요일 일요일입니다. 설날은 이 월 이십 사 일입니다. 크리스마스는 십 이 월 이십 오 일입니다. 지금 계절은 겨울입니다. 어제는 날씨가 따듯했고 오늘 날씨는 비가 왔다. 일 년은 삼백 육십 오 일이고 일주일은 칠 일입니다. 하루는 이십 사 시간이고 일 분은 육십 초입니다.
나는 밥을 입고 당신을 태웁니다 가방이 있나 가방에 담당관 높이는 너 일 거예요 아빠와 타조 땅을 타고 놀러 안에 간다 아빠가 다 왔습니다 그러면 된다 다음에 합니다 대머리가 땡땡 거리고 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래  메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원이 재밌었어요.
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려요 여기 나와요 나비가 날라요 나비가 날라요 엄마가 노래 머리 말려요 머리 말려요 여기 났어 났어요 여기 났어요 영인아 여기 있나 여기 있나요 여기 나와요 머리 말려 머리 말려 머리 말려요 머리 말려요 여기 났어요 음악 켜 날씨가 더워요 날씨가 더워요 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려+ 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠+ 없겠지. 집에 아무도 없지+ 없겠죠? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래요? 그렇게 될 리가 없지. 그렇게 될 리가 없지요? 전화 왔어요. 전화 왔어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거여* 같애요. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
